ISIN;YahooTicker;Name;Currency;Sector;Industry;Hight_52;Low_52;PeRatio;BookValue;PriceToBook;LastDividend;LastDividendYield;LastDividendDate;TSValue;KeyDate;TSDate;IndexName§  0        ;FirstDivYear;LastDivYear;DivIncreas;DivDecrease;DivGrowthSi;DivGrowthLast7;DivGrowthLast5;DivGrowthlast3;DivGrowthLast;DivYear_2017;DivYear_2018;DivYear_2019;DivYear_2020;DivYear_2021;PayoutYear_2017;PayoutYear_2018;PayoutYear_2019;PayoutYear_2020;PayoutYear_2021
US6311031081;NDAQ;Nasdaq;USD;Financial Services;Financial Data & Stock Exchanges;143.5;71.66;26.0311;36.648;3.87825;1.96;0.0138;2020-12-03;141.92;2021-01-14;2021-01-12;S&P500;2013;2020;7;0;2.7307692307692304;2.7307692307692304;1.1555555555555557;0.3287671232876712;0.04864864864864857;1.46;1.7;1.85;1.94;;0.3395348837209302;0.6296296296296295;0.4021739130434783;;
US6370711011;NOV;National-Oilwell Varco;USD;Energy;Oil & Gas Equipment & Services;24.75;7.7;;14.075;1.10622;;;2020-03-12;16.0;2021-01-14;2021-01-12;S&P500;2010;2020;5;3;-0.8647552069245334;-0.9390667462861181;-0.9728260869565217;-0.7500000000000001;-0.7500000000000001;0.2;0.2;0.2;0.05;;;;-0.0125;;
US64110D1046;NTAP;NetApp;USD;Technology;Computer Hardware;67.63;34.66;21.4672;1.667;39.4961;1.92;0.0294;2021-01-07;66.16;2021-01-14;2021-01-12;S&P500;2014;2021;6;1;-0.23809523809523814;-0.23809523809523814;-0.35135135135135137;-0.6;-0.75;0.78;1.2;1.76;1.92;0.48;0.43333333333333335;;0.39111111111111113;0.5485714285714286;
US64110L1061;NFLX;Netflix;USD;Communication Services;Entertainment;575.37;290.25;80.8882;23.389;21.4143;;;;494.25;2021-01-14;2021-01-12;S&P500, Nasdaq;;;;;;;;;;;;;;;;;;;
US64110W1027;NTES;Netease;USD;Communication Services;Internet Content & Information;114.8;53.172;15.71;51.333;2.04099;0.93;0.0087;2020-12-03;107.45;2021-01-14;2021-01-12;Nasdaq;2014;2020;3;3;2.741935483870968;;4.213483146067416;1.5494505494505497;-0.053061224489795854;0.728;0.334;1.96;1.856;;0.04521739130434782;0.03515789473684211;0.05993883792048929;;
US6512291062;NWL;Newell Brands;USD;Consumer Defensive;Household & Personal Products;24.57;10.44;;8.782;2.77841;0.92;0.0378;2020-11-27;24.23;2021-01-14;2021-01-12;S&P500;1987;2020;17;4;7.761904761904763;0.5333333333333334;0.21052631578947373;0.0454545454545455;0.0;0.88;0.92;0.92;0.92;;0.15714285714285717;-0.06301369863013699;;;
US6516391066;NEM;Newmont Mining;USD;Basic Materials;Gold;72.22;33.0;19.9026;28.185;2.24694;1.6;0.0258;2020-12-10;62.49;2021-01-14;2021-01-12;S&P500;1987;2020;12;7;1.7464546967016135;-0.15102040816326534;9.4;3.16;-0.27777777777777773;0.25;0.7;1.44;1.04;;;;0.37894736842105264;;
US65249B1098;NWSA;News;USD;Communication Services;Broadcasting;19.43;7.9;;12.935;1.44492;0.2;0.0109;2020-09-15;18.4;2021-01-14;2021-01-12;S&P500;2016;2020;0;0;0.0;;;0.0;0.0;0.2;0.2;0.2;0.2;;-0.15384615384615385;-0.07692307692307693;;-0.09090909090909091;
US65249B2088;NWS;News b;USD;Communication Services;Broadcasting;19.12;7.88;;12.935;1.41709;0.2;0.0111;2020-09-15;18.07;2021-01-14;2021-01-12;S&P500;2016;2020;0;0;0.0;;;0.0;0.0;0.2;0.2;0.2;0.2;;-0.15384615384615385;-0.07692307692307693;;-0.09090909090909091;
US65339F1012;NEE;NextEra Energy;USD;Utilities;Utilities—Regulated Electric;83.34;43.7;41.6818;19.033;4.33615;1.4;0.0171;2020-11-25;79.75;2021-01-14;2021-01-12;S&P500;1983;2020;34;3;20.777777777777782;2.712121212121212;0.5909090909090909;1.4923702950152595;0.9600000000000002;0.983;1.11;1.25;2.45;;0.3510714285714286;0.31714285714285717;0.6578947368421053;;
