ISIN;YahooTicker;Name;Currency;Sector;Industry;Hight_52;Low_52;PeRatio;BookValue;PriceToBook;LastDividend;LastDividendYield;LastDividendDate;TSValue;KeyDate;TSDate;IndexName§  0        ;FirstDivYear;LastDivYear;DivIncreas;DivDecrease;DivGrowthSi;DivGrowthLast7;DivGrowthLast5;DivGrowthlast3;DivGrowthLast;DivYear_2017;DivYear_2018;DivYear_2019;DivYear_2020;DivYear_2021;PayoutYear_2017;PayoutYear_2018;PayoutYear_2019;PayoutYear_2020;PayoutYear_2021
CH0001624714;CPHN.SW;CPH Chemie & Papier;;Basic Materials;Paper & Paper Products;76.0;61.8;8.03377;78.458;0.800428;1.8;0.0284;2021-03-22;62.8;2021-04-20;2021-04-21;SPI;2003;2021;5;5;-0.9333333333333333;-0.8615384615384615;2.0000000000000004;1.769230769230769;0.0;0.65;0.65;0.5;1.8;1.8;0.24074074074074073;0.09154929577464789;0.0617283950617284;0.23076923076923078;
CH0001625810;CIE.SW;CI Com SA;;Real Estate;Real Estate Services;5.2;1.81;;-10.347;;;;1992-06-29;3.4;2021-04-20;2021-04-21;SPI;;;;;;;;;;;;;;;;;;;
CH0002088976;VALN.SW;Valora;;Consumer Cyclical;Specialty Retail;234.0;129.4;;156.247;1.20066;;;2020-03-26;187.4;2021-04-20;2021-04-21;SPI;1996;2020;9;2;1.5;1.136752136752137;0.0;0.0;0.0;12.5;12.5;12.5;12.5;;0.8169934640522876;0.8928571428571429;0.6684491978609626;;
CH0002187810;PM.SW;Phoenix Mecano;;Industrials;Specialty Industrial Machinery;484.5;320.0;106.738;211.777;2.22168;10.0;0.0214;2020-05-25;471.0;2021-04-20;2021-04-21;SPI;1996;2020;12;2;1.777777777777778;-0.23076923076923078;-0.3333333333333333;-0.3333333333333333;-0.4117647058823529;15.0;16.0;17.0;10.0;;0.6578947368421052;0.4733727810650888;1.1564625850340136;;
CH0002271010;ARON.SW;Arundel;;Financial Services;Capital Markets;4.0;1.57;;1.464;1.63934;;;2015-09-18;2.4;2021-04-20;2021-04-20;SPI;2002;2015;1;1;-0.84375;;;;;;;;;;;;;;
CH0002277314;STRN.SW;Schlatter Industries;;Industrials;Specialty Industrial Machinery;35.4;23.2;;21.2;1.24528;;;2001-07-05;26.4;2021-04-20;2021-04-20;SPI;1998;2001;1;0;0.6;;;0.6;0.0;;;;;;;;;;
CH0002361068;STGN.SW;Starrag Group;;Industrials;Specialty Industrial Machinery;45.0;33.2;;52.221;0.861722;;;2019-04-30;45.0;2021-04-20;2021-04-20;SPI;1999;2019;5;4;-0.8888888888888888;-0.16666666666666663;-0.4444444444444445;-0.16666666666666663;-0.3333333333333333;;1.5;1.0;;;;0.6;0.5;;
CH0002432174;BUCN.SW;Bucher Industries;;Industrials;Specialty Industrial Machinery;492.4;244.4;33.0659;134.116;3.62671;6.5;0.0133;2021-04-19;487.4;2021-04-20;2021-04-21;SPI;2004;2020;10;4;7.0;0.6;0.23076923076923078;0.6;0.0;5.0;6.5;8.0;8.0;;0.2976190476190476;0.3125;0.36529680365296807;;
CH0002497458;SGSN.SW;SGS SA;;Industrials;Consulting Services;2781.0;2055.0;43.0273;141.915;19.3496;80.0;0.0293;2021-03-25;2751.0;2021-04-20;2021-04-21;SPI;1996;2021;16;3;6.142857142857143;0.23076923076923078;0.17647058823529413;0.06666666666666667;0.0;70.0;75.0;78.0;80.0;80.0;0.8505467800729041;0.8896797153024911;0.8944954128440367;;
CH0002609656;VILN.SW;Villars SA;;Consumer Defensive;Grocery Stores;800.0;700.0;53.7715;843.474;0.853613;;;2020-05-19;720.0;2021-04-20;2021-04-21;SPI;1996;2020;3;1;0.3333333333333333;;0.0;0.0;0.0;8.0;60.0;8.0;8.0;;0.03201280512204882;4.615384615384615;0.31007751937984496;;
